web_scraper_order,web_scraper_start_url,container_moutons,Nom,Prix,Adresse,Image_lien,price_cfa,city,title_len
1771110125-1,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/brebis-4043309,Brebis,125 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4324447_uploaded_image1_1691332476.jpg,125000.0,Guediawaye,6
1771110131-2,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4045097,Mouton ladoum,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5321660_uploaded_image1_1746897337.jpg,,Keur Massar,13
1771110135-3,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4045236,Mouton,90 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5630109_uploaded_image1_1763563794.jpg,90000.0,Guediawaye,6
1771110139-4,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4055594,Mouton Ladoum,300 000 CFA,"Diourbel, Sénégal",https://images.coinafrique.com/thumb_5187810_uploaded_image1_1739676570.jpg,300000.0,Diourbel,13
1771110142-5,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4055616,Mouton ladoum,300 000 CFA,"Diourbel, Sénégal",https://images.coinafrique.com/thumb_5187810_uploaded_image1_1739676570.jpg,300000.0,Diourbel,13
1771110146-6,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-agnelle-4060011,Mouton  agnelle,350 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4060011_uploaded_image1_1674334569.jpg,350000.0,Dakar,15
1771110150-7,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-femelle-ladoum-4061067,Mouton femelle Ladoum,Prix sur demande,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4061084_uploaded_image1_1674422780.jpg,,Cambérène,21
1771110154-8,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4061084,Mouton ladoum,Prix sur demande,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4061084_uploaded_image1_1674422780.jpg,,Cambérène,13
1771110160-9,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/moutons-4067794,Moutons,130 000 CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5561288_uploaded_image1_1759765735.jpg,130000.0,Pikine,7
1771110165-10,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/moutons-4069918,Moutons,120 000 CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5561288_uploaded_image1_1759765735.jpg,120000.0,Pikine,7
1771110170-11,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/moutons-4100015,Moutons,150 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5337516_uploaded_image1_1747772137.jpg,150000.0,Parcelle Assainies,7
1771110174-12,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/agnelle-ladoum-4124306,Agnelle Ladoum,125 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4141471_uploaded_image1_1679321283.jpg,125000.0,Mermoz,14
1771110179-13,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-femelle-ladoum-4127293,Mouton femelle Ladoum,400 000 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4127293_uploaded_image1_1678381991.jpg,400000.0,HLM,21
1771110184-14,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/brebis-4141471,Brebis,110 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4175237_uploaded_image1_1681390037.jpg,110000.0,Mermoz,6
