web_scraper_order,web_scraper_start_url,container_volaille,Details,Prix,Adresse,Image_lien,price_cfa,city,title_len
1771110140-1,https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3,https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-voyageurs-manteau-4167562,Pigeons voyageurs  manteau,15 000 CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4167562_uploaded_image1_1680885216.jpg,15000.0,Thies,26
1771110143-2,https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3,https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-voyageurs-4167567,Pigeons voyageurs,15 000 CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4167567_uploaded_image1_1680885294.jpg,15000.0,Thies,17
1771110146-3,https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3,https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-4167601,Pigeons,150 000 CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_5486667_uploaded_image1_1755797873.jpg,150000.0,Thies,7
1771110149-4,https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3,https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-hollandais-4170233,Poule hollandais,8 000 CFA,"Touba, Sénégal",https://images.coinafrique.com/thumb_4170233_uploaded_image2_1681079258.jpeg,8000.0,Touba,16
1771110154-5,https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3,https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-4172814,Poulet de chair,3 500 CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4172814_uploaded_image1_1681236734.jpg,3500.0,Cambérène,15
1771110159-6,https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3,https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-lahore-4177942,Pigeons Lahore,15 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4177942_uploaded_image1_1681563067.jpg,15000.0,Dakar,14
1771110163-7,https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3,https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-boulant-de-pomeranie-4178980,Pigeon Boulant de poméranie,13 000 CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4178981_uploaded_image1_1681650331.jpg,13000.0,Mariste,27
1771110166-8,https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3,https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-boulant-de-pomeranie-4178981,Pigeon Boulant de poméranie,20 000 CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4178981_uploaded_image1_1681650331.jpg,20000.0,Mariste,27
1771110170-9,https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3,https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-padda-de-java-4191356,Pigeon Padda de java,20 000 CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4191356_uploaded_image1_1682522033.jpg,20000.0,Point E,20
1771110174-10,https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=3,https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-texan-4193114,Pigeon Texan,70 000 CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4193114_uploaded_image1_1682634328.jpg,70000.0,Mbour,12
