web_scraper_order,web_scraper_start_url,container_autreanimaux,Nom,Prix,Adresse,Image_lien
"1771110166-1","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-4049517","Perruches ondulées","7 000 CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_4049517_uploaded_image1_1673696813.jpg"
"1771110169-2","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/dindons-4056115","Dindons","175 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1890125_uploaded_image1_1585933665.81.png"
"1771110172-3","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/canards-4056116","Canards","20 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3422543_uploaded_image1_1636113502.jpg"
"1771110175-4","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/dinde-4060300","Dinde","50 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4381112_uploaded_image1_1695035479.jpg"
"1771110179-5","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/oies-4064457","Oies","65 000 CFA","Niaga, Sénégal","https://images.coinafrique.com/thumb_3719072_uploaded_image1_1654007070.jpg"
"1771110182-6","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/buf-4090572","Bœuf","600 000 CFA","Bambey, Sénégal",""
"1771110185-7","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/cheval-4092862","Cheval","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_4092862_uploaded_image1_1676283623.jpg"
"1771110188-8","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-4102298","Chaton angora","180 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_3681874_uploaded_image1_1651750026.jpg"
"1771110191-9","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chats-siamois-himalayen-4102440","Chats siamois himalayen","300 000 CFA","Thies, Sénégal",""
"1771110194-10","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chevre-sahelienne-4103018","Chèvre sahelienne","180 000 CFA","Mbour, Sénégal",""
"1771110197-11","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/hamster-doree-4110101","Hamster dorée","15 000 CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3814562_uploaded_image1_1659613355.jpg"
"1771110200-12","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/oies-4119270","Oies","35 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_4263743_uploaded_image1_1687283716.jpg"
"1771110203-13","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chatte-persane-himalayenne-4140736","Chatte persane himalayenne","200 000 CFA","Dakar, Sénégal",""
"1771110206-14","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/canard-colvert-4141195","Canard colvert","32 500 CFA","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_4650420_uploaded_image1_1710887873.jpg"
"1771110209-15","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-4141464","Perroquet","20 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4141464_uploaded_image1_1679320795.jpg"
"1771110240-16","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/dindes-4169870","Dindes","100 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4169870_uploaded_image1_1681057188.jpg"
"1771110243-17","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/dindes-4169875","Dindes","100 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4169870_uploaded_image1_1681057188.jpg"
"1771110249-18","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chaton-siamois-4180282","Chaton siamois","240 000 CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1825906_uploaded_image2_1584739800.55.png"
"1771110252-19","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/couple-de-perruches-4180902","Couple de perruches","14 900 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_3968286_uploaded_image1_1668632770.jpg"
"1771110255-20","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-4185842","Perroquet","35 000 CFA","Dakar, Sénégal",""
"1771110260-21","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-4196106","Boeuf","600 000 CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_4196106_uploaded_image1_1682881461.jpg"
"1771110263-22","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/cailles-4208226","Cailles","7 000 CFA","Touba, Sénégal",""
"1771110266-23","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/poissons-aquarium-4213007","Poissons aquarium","15 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4534116_uploaded_image2_1704727054.jpeg"
"1771110269-24","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chaton-siamois-himalayen-4215680","Chaton Siamois Himalayen","275 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_4215680_uploaded_image1_1684074328.jpg"
"1771110271-25","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/poussins-bleus-hollandais-4223952","Poussins bleus hollandais","1 500 CFA","Mbao, Dakar, Sénégal",""
"1771110274-26","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/paon-4226444","Paon","400 CFA","Touba, Sénégal","https://images.coinafrique.com/thumb_3956247_uploaded_image2_1667916424.jpeg"
"1771110277-27","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/perruche-4236158","Perruche","30 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5138284_uploaded_image1_1737038687.jpg"
"1771110280-28","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/paon-4250701","Paon","Prix sur demande","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4435457_uploaded_image1_1698661056.jpg"
"1771110282-29","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/chaton-4254477","Chaton","Prix sur demande","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_4365267_uploaded_image1_1694000653.jpg"
"1771110285-30","https://sn.coinafrique.com/categorie/autres-animaux?page=3","https://sn.coinafrique.com/annonce/autres-animaux/poissons-aquariums-4258053","Poissons aquariums","7 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4534116_uploaded_image2_1704727054.jpeg"
